	name	contri	userType	prevReviewCount	prevPhotosReview	rating	reviewDate	reviewText	reviewDate2	formatted_date	location
966	Sing Wong	https://lh3.googleusercontent.com/a/ALm5wu1KOAYgoedvdh9PjgCHcvyyaWqaWyot5-0FAs5F=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	5	3 years ago		2020-02-13 19:30:30.279791	02-13-2020	100_king_st
967	Anthony Parala	https://lh3.googleusercontent.com/a/ALm5wu0_00zdr5yDQpT9iR19zyz7mvP4Adew5-QVKb_2=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	8.0	0.0	5	2 years ago		2021-02-12 19:30:30.279791	02-12-2021	100_king_st
968	Alexi M	https://lh3.googleusercontent.com/a/ALm5wu0ThcaGB_L05E3TwQ-lxHnniDp4vyH-J0inkwMu=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	2.0	0.0	5	3 years ago		2020-02-13 19:30:30.279791	02-13-2020	100_king_st
969	Gustavo Badauy	https://lh3.googleusercontent.com/a-/ACNPEu_n5iLdDq2cZTLcbhChZKXszhP6iNv1dPqzYSu2CJc=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	63.0	336.0	5	2 years ago		2021-02-12 19:30:30.280791	02-12-2021	100_king_st
970	Rafael Zapata	https://lh3.googleusercontent.com/a-/ACNPEu9nzJJctaz5LpjlVkAnPWgLr-TzPn0VItHGpVDSsQ=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	63.0	112.0	5	2 years ago		2021-02-12 19:30:30.280791	02-12-2021	100_king_st
971	Lavanya Pathmanathan	https://lh3.googleusercontent.com/a/ALm5wu3rFwUegU6UUIg8k46VA9HnM-fjU9U_Mo6bBvf3=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	3.0	0.0	5	3 years ago		2020-02-13 19:30:30.281791	02-13-2020	100_king_st
972	Pearl Hystad	https://lh3.googleusercontent.com/a/ALm5wu1ncoLXsV-kp0Gr-dJKYiq2oGGxl8IHfXXqyVby=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	50.0	2.0	5	2 years ago		2021-02-12 19:30:30.281791	02-12-2021	100_king_st
973	Kamran Zafar	https://lh3.googleusercontent.com/a-/ACNPEu-o8ssGSCLF0Y7T6IAgLDHkyHg3PKXB1ypKC9c8Qg=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	15.0	11.0	5	3 years ago		2020-02-13 19:30:30.282791	02-13-2020	100_king_st
974	Viviana Galan	https://lh3.googleusercontent.com/a-/ACNPEu_LFKCzleHsKJJASewdEFW044KQu6eLu8wzwnvq_Q=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	5.0	1.0	5	2 years ago		2021-02-12 19:30:30.282791	02-12-2021	100_king_st
975	Dean Embry	https://lh3.googleusercontent.com/a-/ACNPEu8kPIj9OgvFTlh7N1aeldu-EMstS_FQy_XgSmpSQtM=s40-c-c0x00000000-cc-rp-mo-ba5-br100	Local Guide	111.0	270.0	3	2 years ago		2021-02-12 19:30:30.282791	02-12-2021	100_king_st
976	Gwenn Dela victoria	https://lh3.googleusercontent.com/a-/ACNPEu9IPWgcSaL_-uhak4ndeDPW0xKPIDWLn4Av7V7obA=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	5.0	0.0	5	3 years ago		2020-02-13 19:30:30.283792	02-13-2020	100_king_st
977	Philip Stoop	https://lh3.googleusercontent.com/a-/ACNPEu-ARpupzxJAFMtlUmSIbGAjBb_oY_HRe3WaR6XHGz0=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	18.0	1.0	3	3 years ago		2020-02-13 19:30:30.283792	02-13-2020	100_king_st
978	Kevin Ng	https://lh3.googleusercontent.com/a-/ACNPEu9eWFTygN7hauax3btgUNM0J4qOdR2Qq0KgoKlyDA=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	5.0	0.0	5	3 years ago		2020-02-13 19:30:30.284792	02-13-2020	100_king_st
979	Kaustubh Donde	https://lh3.googleusercontent.com/a-/ACNPEu9Fn2MAHaytpTO8PWc1bfNp5B1i6FNRv6HKOFlP7g=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	35.0	225.0	5	4 years ago		2019-02-13 19:30:30.284792	02-13-2019	100_king_st
980	Richie Martin	https://lh3.googleusercontent.com/a-/ACNPEu8ifzNCy1ATjEiPGtgc06zmawB5F5jjjADx6gp9TQ=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	11.0	1.0	5	3 years ago		2020-02-13 19:30:30.284792	02-13-2020	100_king_st
981	xRAIDYx	https://lh3.googleusercontent.com/a-/ACNPEu-3s82VCLOd_wXwnfTVUALjJpuPGOdNNuDGwFSzAA=s40-c-c0x00000000-cc-rp-mo-ba2-br100	Local Guide	3.0	5.0	3	3 years ago		2020-02-13 19:30:30.285792	02-13-2020	100_king_st
982	Sunidhi Thakur	https://lh3.googleusercontent.com/a-/ACNPEu_5MMbfu5Ws2805Uh-_b71CgypzIvc7U-rtc32Rig=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	4.0	0.0	5	2 years ago		2021-02-12 19:30:30.285792	02-12-2021	100_king_st
983	Anna Zahoruiko	https://lh3.googleusercontent.com/a-/ACNPEu9W-0HY1Vyo27-dLJ6XUaDBDzF9kPtQ2sde8Rk9=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	5.0	13.0	3	2 years ago		2021-02-12 19:30:30.286792	02-12-2021	100_king_st
984	Ray Lo	https://lh3.googleusercontent.com/a/ALm5wu2evW3LbLfyLS-h491WlUsKsD1LQKptYJhv1Z2g=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	0.0	0.0	4	3 years ago		2020-02-13 19:30:30.286792	02-13-2020	100_king_st
985	Samuel Goss	https://lh3.googleusercontent.com/a-/ACNPEu_jeuPTtYPq38zCq6hZVXqG8IKQ71rMfKI-8Me46A=s40-c-c0x00000000-cc-rp-mo-ba3-br100	Local Guide	19.0	10.0	5	3 years ago		2020-02-13 19:30:30.287793	02-13-2020	100_king_st
986	Dom R	https://lh3.googleusercontent.com/a-/ACNPEu_69-ksx423jbApC3shEx4twMJAWDERpeKSnF9O=s40-c-c0x00000000-cc-rp-mo-ba5-br100	Local Guide	273.0	351.0	3	3 years ago		2020-02-13 19:30:30.287793	02-13-2020	100_king_st
987	Mario Andreoli	https://lh3.googleusercontent.com/a-/ACNPEu-hfrx870rgVRYpGlxNv5Aq6JvOH-xa5M2V5xIB=s40-c-c0x00000000-cc-rp-mo-ba4-br100	Local Guide	3.0	0.0	4	2 years ago		2021-02-12 19:30:30.287793	02-12-2021	100_king_st
988	Eddie Combden	https://lh3.googleusercontent.com/a/ALm5wu3t6Jt-ZPxrNI6UdTPdxxLyvrDeJxLOdzpC2vQP=s40-c-c0x00000000-cc-rp-mo-br100	Not defined	7.0	0.0	4	4 years ago		2019-02-13 19:30:30.288793	02-13-2019	100_king_st
